MaxTemp,MinTemp,PoorWeather,PRCP,SNF,SND,month_sin,month_cos,day_of_year_sin,day_of_year_cos,STA_target_encoded,Has_Weather_Event
27.22222222,21.11111111,0,0.0,0.0,0.0,-1.0,-1.8369701987210297e-16,-0.8945422369764496,-0.4469834295196741,22.52040718312014,0
27.22222222,22.22222222,0,0.01,0.0,0.0,-1.0,-1.8369701987210297e-16,-0.9020987014301837,-0.43152975897147144,22.52040718312014,0
26.66666667,22.22222222,0,0.0,0.0,0.0,-1.0,-1.8369701987210297e-16,-0.9093882203647925,-0.4159483918249421,22.52040718312014,0
26.66666667,21.66666667,0,0.01,0.0,0.0,-1.0,-1.8369701987210297e-16,-0.9164086366943458,-0.4002439388573056,22.52040718312014,0
27.22222222,21.11111111,0,0.0,0.0,0.0,-1.0,-1.8369701987210297e-16,-0.9231578729647039,-0.38442104726885545,22.52040718312014,0
26.66666667,21.66666667,0,0.01,0.0,0.0,-1.0,-1.8369701987210297e-16,-0.9296339319682695,-0.3684843993077793,22.52040718312014,0
28.33333333,21.11111111,0,0.0,0.0,0.0,-1.0,-1.8369701987210297e-16,-0.9358348973349941,-0.35243871088460327,22.52040718312014,0
26.11111111,21.11111111,0,0.0,0.0,0.0,-1.0,-1.8369701987210297e-16,-0.9417589340994617,-0.33628873017668287,22.52040718312014,0
27.22222222,21.66666667,0,0.01,0.0,0.0,-1.0,-1.8369701987210297e-16,-0.9474042892438845,-0.32003923622313857,22.52040718312014,0
27.22222222,21.66666667,0,0.01,0.0,0.0,-1.0,-1.8369701987210297e-16,-0.9527692922168511,-0.30369503751065885,22.52040718312014,0
27.77777778,22.77777778,0,0.04,0.0,0.0,-1.0,-1.8369701987210297e-16,-0.9578523554276669,-0.28726097055059635,22.52040718312014,0
27.77777778,22.77777778,0,0.0,0.0,0.0,-1.0,-1.8369701987210297e-16,-0.9626519747161487,-0.2707418984477642,22.52040718312014,0
30.0,21.66666667,0,0.0,0.0,0.0,-1.0,-1.8369701987210297e-16,-0.9671667297977312,-0.2541427094613622,22.52040718312014,0
27.77777778,22.22222222,0,0.0,0.0,0.0,-1.0,-1.8369701987210297e-16,-0.97139528468375,-0.23746831555846842,22.52040718312014,0
31.11111111,21.11111111,0,0.0,0.0,0.0,-1.0,-1.8369701987210297e-16,-0.9753363880767837,-0.2207236509605022,22.52040718312014,0
34.44444444,22.22222222,0,0.0,0.0,0.0,-1.0,-1.8369701987210297e-16,-0.9789888737409319,-0.20391367068311472,22.52040718312014,0
30.55555556,21.66666667,0,0.01,0.0,0.0,-1.0,-1.8369701987210297e-16,-0.9823516608469237,-0.18704334906991657,22.52040718312014,0
29.44444444,22.22222222,0,0.01,0.0,0.0,-1.0,-1.8369701987210297e-16,-0.9854237542919524,-0.17011767832049052,22.52040718312014,0
30.55555556,22.22222222,0,0.01,0.0,0.0,-1.0,-1.8369701987210297e-16,-0.9882042449941422,-0.15314166701312007,22.52040718312014,0
26.11111111,23.33333333,0,0.01,0.0,0.0,-1.0,-1.8369701987210297e-16,-0.9906923101615609,-0.13612033862266704,22.52040718312014,0
25.55555556,22.22222222,0,0.0,0.0,0.0,-1.0,-1.8369701987210297e-16,-0.9928872135356962,-0.11905873003404988,22.52040718312014,0
30.55555556,21.66666667,0,0.01,0.0,0.0,-1.0,-1.8369701987210297e-16,-0.994788305609327,-0.10196189005174576,22.52040718312014,0
31.66666667,22.22222222,0,0.0,0.0,0.0,-1.0,-1.8369701987210297e-16,-0.9963950238187231,-0.08483487790576538,22.52040718312014,0
31.66666667,21.11111111,0,0.01,0.0,0.0,-1.0,-1.8369701987210297e-16,-0.9977068927101168,-0.06768276175455162,22.52040718312014,0
32.22222222,20.55555556,0,0.13,0.0,0.0,-1.0,-1.8369701987210297e-16,-0.9987235240803972,-0.050510617185222886,22.52040718312014,0
27.77777778,22.22222222,0,0.03,0.0,0.0,-1.0,-1.8369701987210297e-16,-0.9994446170919858,-0.033323525711631344,22.52040718312014,0
29.44444444,22.22222222,0,0.0,0.0,0.0,-1.0,-1.8369701987210297e-16,-0.9998699583618592,-0.016126573270657762,22.52040718312014,0
31.11111111,23.33333333,0,0.01,0.0,0.0,-0.8660254037844386,0.5000000000000001,-0.9999994220246925,0.001075151282798226,22.52040718312014,0
31.11111111,22.77777778,0,0.0,0.0,0.0,-0.8660254037844386,0.5000000000000001,-0.999832969770105,0.018276557681691223,22.52040718312014,0
31.11111111,22.22222222,0,0.0,0.0,0.0,-0.8660254037844386,0.5000000000000001,-0.9993706508539969,0.03547255575312556,22.52040718312014,0
27.22222222,21.11111111,0,0.22,0.0,0.0,-0.8660254037844386,0.5000000000000001,-0.9986126020839734,0.052658056924614005,22.52040718312014,0
31.11111111,22.22222222,0,0.0,0.0,0.0,-0.8660254037844386,0.5000000000000001,-0.9975590477788613,0.06982797572987089,22.52040718312014,0
29.44444444,22.22222222,0,0.01,0.0,0.0,-0.8660254037844386,0.5000000000000001,-0.9962102997023297,0.0869772313136861,22.52040718312014,0
29.44444444,22.77777778,0,0.2,0.0,0.0,-0.8660254037844386,0.5000000000000001,-0.9945667569706337,0.1041007489354256,22.52040718312014,0
